Source_Mol,Target_Mol,Tanimoto
CC(C)[C@]12O[C@H]1[C@@H]1O[C@]13[C@]1(O[C@H]1C[C@H]1C4=C(CC[C@@]13C)C(=O)OC4)[C@@H]2O,CC(C)[C@]12O[C@H]1[C@@H]1O[C@]13[C@]1(O[C@H]1C[C@H]1C4=C(CC[C@@]13C)C(=O)OC4)[C@@H]2O,1.0
CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2)C(C)C,CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2)C(C)C,1.0
CN=C(O)ON=C(C)C(C)SC,CN=C(O)ON=C(C)C(C)SC,1.0
CN=C(O)ON=C(C)C(C)S(C)(=O)=O,CN=C(O)ON=C(C)C(C)S(C)(=O)=O,1.0
CN=C(O)ON=C(C)SC,CN=C(O)ON=C(C)SC,1.0
CN=C(O)ON=CC(C)(C)CCC#N,CN=C(O)ON=CC(C)(C)CCC#N,1.0
CN=C(O)ON=C(SC)C(=O)N(C)C,CN=C(O)ON=C(SC)C(=O)N(C)C,1.0
CN=C(O)ON=C1SC(C)(C)C(=O)N1C,CN=C(O)ON=C1SC(C)(C)C(=O)N1C,1.0
CN=C(O)ON=C(C)SCCC#N,CN=C(O)ON=C(C)SCCC#N,1.0
CSC(C)=NOC(=O)N(C)SN(C)C(=O)ON=C(C)SC,CSC(C)=NOC(=O)N(C)SN(C)C(=O)ON=C(C)SC,1.0
CN=C(O)ON=C(CSC)C(C)(C)C,CN=C(O)ON=C(CSC)C(C)(C)C,1.0
CN=C(O)Oc1ccccc1OC(CCl)OC,CN=C(O)Oc1ccccc1OC(CCl)OC,1.0
CN(C(=O)c1ccccc1)c1cccc(C(O)=Nc2c(Br)cc(C(F)(C(F)(F)F)C(F)(F)F)cc2C(F)(F)F)c1F,CN(C(=O)c1ccccc1)c1cccc(C(O)=Nc2c(Br)cc(C(F)(C(F)(F)F)C(F)(F)F)cc2C(F)(F)F)c1F,1.0
CN=C(O)c1cc(Cl)cc(C)c1N=C(O)c1cc(Br)nn1-c1ncccc1Cl,CN=C(O)c1cc(Cl)cc(C)c1N=C(O)c1cc(Br)nn1-c1ncccc1Cl,1.0
CN=C(O)c1cc(Cl)cc(C)c1N=C(O)c1cc(Br)nn1-c1ncccc1Cl,CN=C(O)c1cc(C#N)cc(C)c1N=C(O)c1cc(Br)nn1-c1ncccc1Cl,0.8255813953488372
CN=C(O)c1cc(C#N)cc(C)c1N=C(O)c1cc(Br)nn1-c1ncccc1Cl,CN=C(O)c1cc(Cl)cc(C)c1N=C(O)c1cc(Br)nn1-c1ncccc1Cl,0.8255813953488372
