Smiles,SPS,nSPS
CCOP(=O)(OCC)SCCSCC,167,11.928571428571429
CCSCCOP(=S)(OC)OC,143,11.916666666666666
CCSCCSP(=O)(OC)OC,143,11.916666666666666
CCS(=O)(=O)CCSP(=O)(OC)OC,183,13.071428571428571
CCOP(=S)(OCC)SCCSCC,167,11.928571428571429
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,244,12.842105263157896
CCCSP(=O)(OCC)SCCC,155,11.923076923076923
CCS(=O)CSP(=S)(OC(C)C)OC(C)C,235,14.6875
COP(=S)(OC)SCCSC(C)C,161,12.384615384615385
COC(=O)/C(C)=C/OP(=S)(OC)OC,174,12.428571428571429
CCOC(=O)CSP(=O)(OC)OC,147,11.307692307692308
CCS(=O)CCSP(=O)(OC)OC,187,14.384615384615385
CCS(=O)CC(C)SP(=O)(OC)OC,232,16.571428571428573
CCOP(=S)(OCC)SCCS(=O)CC,211,14.066666666666666
CCOP(=S)(OCC)SCSCC,155,11.923076923076923
CCOP(=S)(OCC)OP(=S)(OCC)OCC,220,12.941176470588236
CCOP(=S)(OCC)SCSC(C)(C)C,197,13.133333333333333
CCSCCSP(=S)(OC)OC,143,11.916666666666666
COCCN=C(O)CSP(=S)(OC)OC,171,11.4
CCOP(=O)(OCC)SCC(O)=NC(C)(C)C#N,215,11.944444444444445
CN=C(O)CSP(=S)(OC)OC,135,11.25
CCN=C(O)CSP(=S)(OC)OC,147,11.307692307692308
COP(=S)(OC)SCC(=O)N(C)C=O,155,11.071428571428571
CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,212,11.157894736842104
CN=C(O)CSP(=O)(OC)OC,135,11.25
CCOP(=S)(OCC)SCC(O)=NC(C)C,189,11.8125
COCN=C(O)CSP(=S)(OC)OC,159,11.357142857142858
CN=C(O)C(C)SCCSP(=O)(OC)OC,216,13.5
CCOP(=S)(OCC)ON=C(C#N)c1ccccc1Cl,214,10.7
CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,201,10.578947368421053
COP(=S)(OC)ON=C(C#N)c1ccccc1,177,10.411764705882353
COP(=O)(OC)SCn1c(=O)oc2cc(Cl)cnc21,231,12.157894736842104
COP(=S)(OC)SCc1ncc(Cl)s1,167,11.928571428571429
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,260,11.818181818181818
CCOP(=S)(OCC)Oc1ccc2c3c(c(=O)oc2c1)CCCC3,350,14.583333333333334
CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC,544,22.666666666666668
COc1coc(CSP(=O)(OC)OC)cc1=O,195,11.470588235294118
COP(=S)(OC)SCc1nc(=N)[nH]c(=N)[nH]1,186,11.625
COP(=S)(OC)SCC(=O)N1CCOCC1,280,17.5
CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21,255,12.142857142857142
CCCSP(=O)(OCC)Oc1cnn(-c2ccc(Cl)cc2)c1,303,13.772727272727273
CCOP(=S)(OCC)Oc1cc(C)[nH]n1,175,11.666666666666666
CCOP(=S)(OCC)Oc1ccc(=O)n(-c2ccccc2)n1,250,11.363636363636363
CCOP(=S)(OCC)Oc1cc(C)nc2ccccc12,235,11.75
CCOP(=S)(OCC)SC1CCSc2ccc(Cl)cc21,377,18.85
CCOP(=O)(OCC)SC1CCSc2ccc(Cl)cc21,377,18.85
CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O,250,11.904761904761905
COP(=S)(OC)SCn1nnc2ccccc2c1=O,226,11.894736842105264
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,365,15.869565217391305
COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,284,14.947368421052632
CCOP(=S)(OCC)Oc1cc(-c2ccccc2)on1,230,11.5
CCCSP(=O)(OCC)SCc1cc(C)no1,251,14.764705882352942
CCOP(=S)(OCC)Oc1nn2c(C)ccnc2c1Cl,240,12.0
CCOC(=O)c1cn2nc(OP(=S)(OCC)OCC)cc2nc1C,280,11.666666666666666
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,209,11.61111111111111
COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl,185,11.5625
CCOP(=S)(OCC)Oc1cnc(C(C)(C)C)nc1,237,12.473684210526315
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,226,11.894736842105264
CCOc1cc(OP(=S)(OC)OC)nc(CC)n1,204,11.333333333333334
CCOc1cc(OP(=S)(OC)OC)nc(C(C)C)n1,222,11.68421052631579
CCOP(=S)(OCC)Oc1cc(C)nc(OC)n1,204,11.333333333333334
CCOP(=S)(OCC)Oc1cc(C)nc(N(CC)CC)n1,241,11.476190476190476
CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1,217,11.421052631578947
CCOP(=S)(OCC)Oc1cc(C)nc(N(CC)C(C)=O)n1,249,11.318181818181818
CCOP(=S)(OCC)Oc1cc(C)nc(N(C)C)n1,217,11.421052631578947
CCOP(=S)(Oc1cnc(C(C)(C)C)nc1)OC(C)C,303,15.15
CCOP(=S)(OCC)Oc1cnc2ccccc2n1,222,11.68421052631579
COP(=S)(OC)Oc1cnc2ccccc2n1,198,11.647058823529411
CCOP(=S)(OCC)SCn1nc(OC)sc1=O,211,11.722222222222221
CCOc1nn(CSP(=S)(OC)OC)c(=O)s1,199,11.705882352941176
COc1nn(CSP(=S)(OC)OC)c(=O)s1,187,11.6875
CCOP(=S)(OCC)SCn1nc(OC(C)C)sc1=O,241,12.05
CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,218,12.11111111111111
CCOP(=S)(OCC)Oc1ncn(-c2ccccc2)n1,230,11.5
COP(=S)(OC)Oc1ccc(N=Nc2ccc(Cl)cc2)cc1,243,11.045454545454545
COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,185,11.5625
CCOP(=S)(OCC)Oc1cc(Cl)c(Br)cc1Cl,209,11.61111111111111
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,211,11.722222222222221
CCOP(=S)(OCC)Oc1cc(SC)c(Cl)cc1Cl,221,11.631578947368421
COP(=S)(OC)Oc1ccc(C#N)cc1,161,10.733333333333333
COP(=S)(OC)Oc1ccc(S(N)(=O)=O)cc1,211,12.411764705882353
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1Cl,191,11.235294117647058
CCOP(=S)(OCC)Oc1ccc(Cl)cc1Cl,196,11.529411764705882
CCCSP(=O)(OCC)Oc1ccc(Cl)cc1Cl,256,14.222222222222221
COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1,241,12.68421052631579
COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,185,11.5625
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,191,11.235294117647058
CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1,239,13.277777777777779
COP(=S)(OC)Oc1ccc(SC)c(C)c1,184,11.5
CCOP(=S)(OCC)Oc1ccc(SC)c(C)c1,208,11.555555555555555
CCCSP(=O)(OCC)Oc1ccccc1,230,14.375
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,185,11.5625
COP(=S)(OC)Oc1ccc(S(C)=O)c(C)c1,228,13.411764705882353
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,202,11.222222222222221
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,178,11.125
CCOP(=S)(OCC)SCSc1cc(Cl)ccc1Cl,224,11.789473684210526
COP(=S)(OC)Oc1ccc(Cl)c([N+](=O)[O-])c1,191,11.235294117647058
CCCSP(=O)(OCC)Oc1ccc(Br)cc1Cl,256,14.222222222222221
CCCSP(=S)(OCC)Oc1ccc(Cl)cc1Cl,256,14.222222222222221
CCCSP(=S)(OCC)Oc1ccc(SC)cc1,255,14.166666666666666
COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,324,12.0
CCOP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,245,14.411764705882353
CCCSP(=O)(OCC)Oc1c(Cl)cc(Cl)cc1Cl,269,14.157894736842104
CCOP(=S)(OCC)Oc1c(Cl)cc(Cl)cc1[N+](=O)[O-],228,11.4
CCCC(=O)OC(C(Cl)(Cl)Cl)P(=O)(OC)OC,246,14.470588235294118
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,194,16.166666666666668
COC(=O)N(C)C(=O)CSP(C)(=S)OC,212,14.133333333333333
CCOP(=S)(CC)Sc1ccccc1,210,15.0
CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,245,14.411764705882353
CCOP(=S)(Oc1ccc(C#N)cc1)c1ccccc1,264,13.2
CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,281,13.380952380952381
COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,276,13.8
CNP(=O)(OC)Oc1ccc(C(C)(C)C)cc1Cl,274,15.222222222222221
CCOP(=O)(NC(C)C)Oc1ccc(SC)c(C)c1,274,14.421052631578947
CCOP(=O)(N=C1SCS1)OCC,220,16.923076923076923
CCOP(=O)(N=C1SCC(C)S1)OCC,331,22.066666666666666
CCOP(=O)(N=C1SCCS1)OCC,244,17.428571428571427
